Home,Away,Map,Score,Date
Feint Gaming,woodpig quantum,cp_sunshine,5-4,Sep 28 17
The Sparkle Gang,Cat Noises,cp_sunshine,3-5,Sep 28 17
Ascent,SVIFT NA,cp_sunshine,2-0,Sep 28 17
black swan,Velocity eSports TF2,cp_sunshine,0-5,Sep 28 17
Feint Gaming,Ascent,cp_sunshine,1-5,Sep 27 17
Velocity eSports TF2,The Sparkle Gang,cp_sunshine,5-0,Sep 27 17
froyotech,black swan,cp_sunshine,5-0,Sep 26 17
SVIFT NA,woodpig quantum,cp_sunshine,5-3,Sep 25 17
woodpig quantum,The Sparkle Gang,cp_metalworks,5-0,Oct 8 17
black swan,Feint Gaming,cp_metalworks,1-5,Oct 5 17
Ascent,Velocity eSports TF2,cp_metalworks,1-5,Oct 5 17
Cat Noises,Feint Gaming,cp_metalworks,1-5,Oct 4 17
SVIFT NA,Velocity eSports TF2,cp_metalworks,4-2,Oct 4 17
woodpig quantum,froyotech,cp_metalworks,0-5,Oct 4 17
Ascent,Feint Gaming,cp_gullywash_final1,5-1,Oct 31 17
Velocity eSports TF2,The Sparkle Gang,cp_gullywash_final1,5-0,Oct 31 17
SVIFT NA,Velocity eSports TF2,cp_gullywash_final1,5-1,Oct 30 17
froyotech,SVIFT NA,cp_gullywash_final1,5-2,Oct 30 17
SVIFT NA,black swan,cp_metalworks,5-0,Oct 3 17
Cat Noises,froyotech,cp_metalworks,0-5,Oct 3 17
Velocity eSports TF2,Cat Noises,cp_process_final,5-1,Oct 27 17
Feint Gaming,SVIFT NA,cp_process_final,2-5,Oct 26 17
The Sparkle Gang,black swan,cp_process_final,2-4,Oct 26 17
woodpig quantum,Velocity eSports TF2,cp_process_final,1-5,Oct 26 17
Ascent,Cat Noises,cp_process_final,5-1,Oct 26 17
Feint Gaming,froyotech,cp_process_final,0-5,Oct 25 17
black swan,Ascent,cp_process_final,1-5,Oct 25 17
The Sparkle Gang,SVIFT NA,cp_process_final,0-5,Oct 24 17
Ascent,woodpig quantum,koth_product_rc8,4-2,Oct 22 17
froyotech,The Sparkle Gang,koth_product_rc8,4-0,Oct 19 17
Velocity eSports TF2,woodpig quantum,koth_product_rc8,0-4,Oct 19 17
Velocity eSports TF2,Feint Gaming,koth_product_rc8,4-2,Oct 18 17
Ascent,The Sparkle Gang,koth_product_rc8,4-0,Oct 18 17
SVIFT NA,froyotech,koth_product_rc8,2-4,Oct 18 17
black swan,Cat Noises,koth_product_rc8,4-2,Oct 18 17
SVIFT NA,Cat Noises,koth_product_rc8,4-0,Oct 17 17
Cat Noises,Ascent,cp_granary_pro_rc8,0-2,Oct 15 17
Feint Gaming,SVIFT NA,cp_granary_pro_rc8,2-5,Oct 12 17
The Sparkle Gang,black swan,cp_granary_pro_rc8,4-3,Oct 12 17
froyotech,Velocity eSports TF2,cp_granary_pro_rc8,5-1,Oct 12 17
Cat Noises,woodpig quantum,cp_granary_pro_rc8,0-5,Oct 12 17
The Sparkle Gang,Feint Gaming,cp_granary_pro_rc8,0-5,Oct 11 17
froyotech,Ascent,cp_granary_pro_rc8,5-0,Oct 11 17
woodpig quantum,black swan,cp_granary_pro_rc8,5-3,Oct 11 17
Cat Noises,The Sparkle Gang,cp_snakewater_final1,,Nov 9 17
SVIFT NA,woodpig quantum,cp_snakewater_final1,,Nov 9 17
black swan,Velocity eSports TF2,cp_snakewater_final1,,Nov 9 17
froyotech,Ascent,cp_snakewater_final1,,Nov 9 17
Velocity eSports TF2,froyotech,cp_snakewater_final1,,Nov 8 17
Ascent,woodpig quantum,cp_snakewater_final1,,Nov 8 17
black swan,Feint Gaming,cp_snakewater_final1,,Nov 7 17
Feint Gaming,Cat Noises,cp_snakewater_final1,,Nov 6 17
SVIFT NA,Ascent,Multiple,,Nov 30 17
froyotech,Velocity eSports TF2,Multiple,,Nov 30 17
Feint Gaming,woodpig quantum,cp_sunshine,,Nov 26 17
Ascent,The Sparkle Gang,cp_sunshine,,Nov 26 17
Cat Noises,froyotech,cp_sunshine,,Nov 22 17
The Sparkle Gang,froyotech,cp_sunshine,,Nov 21 17
Ascent,SVIFT NA,cp_sunshine,,Nov 21 17
Velocity eSports TF2,Cat Noises,cp_sunshine,,Nov 21 17
Feint Gaming,Velocity eSports TF2,cp_sunshine,,Nov 20 17
woodpig quantum,The Sparkle Gang,cp_gullywash_final1,,Nov 2 17
Cat Noises,black swan,cp_gullywash_final1,,Nov 2 17
SVIFT NA,black swan,cp_sunshine,,Nov 19 17
The Sparkle Gang,Feint Gaming,cp_badlands,,Nov 16 17
Velocity eSports TF2,Ascent,cp_badlands,,Nov 16 17
The Sparkle Gang,SVIFT NA,cp_badlands,,Nov 15 17
black swan,Ascent,cp_badlands,,Nov 15 17
woodpig quantum,froyotech,cp_badlands,,Nov 15 17
Cat Noises,SVIFT NA,cp_badlands,,Nov 14 17
froyotech,black swan,cp_badlands,,Nov 14 17
woodpig quantum,Cat Noises,cp_badlands,,Nov 13 17
froyotech,Feint Gaming,cp_gullywash_final1,,Nov 1 17
woodpig quantum,black swan,cp_gullywash_final1,,Nov 1 17
